"Source:","/home/marc-antoine/Bureau/Maitrîse/t-top_ws/src/t-top/PCB/buck_boost/buck_boost.kicad_sch"
"Date:","lun 17 avr 2023 14:18:07"
"Tool:","Eeschema 6.0.11-2627ca5db0~126~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","57"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","1000µF/35V","Device:CP","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm",""
"","","C2","1000µF/35V","Device:CP","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm",""
"","","C3","1000µF/35V","Device:CP","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm",""
"","","C4","47nF/35V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C5","10µF/35V","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C6","10µF/35V","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C7","10µF/35V","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C8","10µF/35V","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C9","1µF/35V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C10","0.47µF/16V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C11","1000µF/35V","Device:CP","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm",""
"","","C12","2.2µF/16V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C13","220nF/16V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C14","27nF/16V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C15","NI","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C16","2.2µF/16V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C17","4.7µF/16V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C18","1µF/35V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C19","470µF/35V","Device:CP","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm",""
"","","C20","22µF/35V","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C21","22µF/35V","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C22","22µF/35V","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C23","22µF/35V","Device:C","Capacitor_SMD:C_1206_3216Metric","~"
"","","C24","1µF/35V","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","C25","1000µF/35V","Device:CP","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm",""
"","","D2","SS2040LL","Device:D_Schottky","Diode_SMD:D_SOD-123F","~"
